# %ECSV 1.0
# ---
# datatype:
# - {name: e_ref, unit: TeV, datatype: float64, format: .3f}
# - {name: e2dnde, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_errp, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_errn, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: is_ul, datatype: bool}
# meta: !!omap
# - {SED_TYPE: e2dnde}
# schema: astropy-2.0
e_ref e2dnde e2dnde_errp e2dnde_errn is_ul
12.599999999999996 5.782134068995542e-12 8.098982175020287e-13 8.098982175020287e-13 False
19.999999999999996 6.3913052922478215e-12 5.0730986381368e-13 5.0730986381368e-13 False
31.599999999999998 3.914674553916882e-12 2.9859380036371205e-13 2.9859380036371205e-13 False
50.1 2.906046687484022e-12 2.1770384275870054e-13 2.1770384275870054e-13 False
79.40000000000002 1.747622540849014e-12 1.6777176392150532e-13 1.6777176392150532e-13 False
126.0 8.478465926747501e-13 1.2982338874878389e-13 1.2982338874878389e-13 False
199.99999999999991 7.389946744161544e-13 1.3781252036409366e-13 1.3781252036409366e-13 False
316.00000000000006 2.7862097132543757e-13 1.3681387891217993e-13 9.576971523852595e-14 False
500.9999999999999 1.3681387891217993e-13 1.1584240842199177e-13 8.997759481742637e-14 False
