1.34,1,1.78,2.41E-11,5.6E-12,5.6E-12,False
1.96,1.78,3.16,2.22E-11,2E-12,2E-12,False
2.91,3.16,5.62,2.58E-11,2.1E-12,2.1E-12,False
5.2,5.62,10,2.24E-11,1.7E-12,1.7E-12,False
9.54,10,117.8,1.77E-11,1.3E-12,1.3E-12,False
15.95,17.8,31.6,1.63E-11,1.1E-12,1.1E-12,False
30.44,31.6,56.2,1.08E-11,9E-13,9E-13,False
58.18,56.2,100,6.22E-12,7.6E-13,7.6E-13,False
98.17,100,177,2.59E-12,6.8E-13,6.8E-13,False
153.5,177,316,3.45E-12,1.25E-12,1.25E-12,False
